Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729209611725,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.38934326172,11219.249206542969,7331.10693359375,0.30633544921875,25127043072,4294963200,723361792,0
19,1729209611725,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.38995361328,11219.2509765625,7331.1075439453125,0.30633544921875,25127043072,4294963200,723619840,0
19,1729209611745,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.3959350586,11219.307556152344,7331.1270751953125,0.30633544921875,25127043072,4294963200,723877888,0
19,1729209611765,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.40155029297,11219.372497558594,7331.153747558594,0.30633544921875,25127043072,4294963200,724135936,0
20,1729209611785,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.40716552734,11219.4765625,7331.2197265625,0.30633544921875,25127043072,4294963200,724652032,0
20,1729209611805,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.41284179688,11219.589721679688,7331.292297363281,0.30633544921875,25127043072,4294963200,725168128,0
19,1729209611825,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.41864013672,11219.699584960938,7331.364929199219,0.30633544921875,25127043072,4294963200,725684224,0
20,1729209611845,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.4243774414,11219.813781738281,7331.4376220703125,0.30633544921875,25127043072,4294963200,726200320,0
20,1729209611865,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.4302368164,11219.926025390625,7331.509948730469,0.30633544921875,25127043072,4294963200,726716416,0
20,1729209611885,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.43615722656,11220.037170410156,7331.5826416015625,0.30633544921875,25127043072,4294963200,727490560,0
20,1729209611905,2400,2400,2400,2400,6.25,6.6666669845581055,8.823529243469238,6.25,80542.44201660156,11220.150207519531,7331.654846191406,0.30633544921875,25127043072,4294963200,728006656,0
19,1729209611925,2400,2400,2400,2400,0,0,100,0,80542.44793701172,11220.259887695313,7331.728210449219,0.30633544921875,25127043072,4294963200,728522752,0
20,1729209611945,2400,2400,2400,2400,0,0,100,0,80542.45391845703,11220.375244140625,7331.801025390625,0.30633544921875,25127043072,4294963200,729030656,0
20,1729209611965,2400,2400,2400,2400,0,0,100,0,80542.46020507813,11220.49365234375,7331.874206542969,0.30633544921875,25127043072,4294963200,729804800,0
20,1729209611986,2400,2400,2400,2400,0,0,100,0,80542.46612548828,11220.603942871094,7331.9466552734375,0.30633544921875,25127043072,4294963200,730320896,0
20,1729209612006,2400,2400,2400,2400,0,0,100,0,80542.47198486328,11220.717712402344,7332.0189208984375,0.30633544921875,25127043072,4294963200,730836992,0
