Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729209699622,2228,2386,2328,2224,6.6666669845581055,10,10,6.45161247253418,80569.93353271484,11677.674255371094,7615.880126953125,0.30633544921875,25127043072,4294963200,741728256,0
20,1729209699622,2228,2386,2328,2224,6.6666669845581055,10,10,6.45161247253418,80569.93353271484,11677.674255371094,7615.8807373046875,0.30633544921875,25127043072,4294963200,741728256,0
0,1729209699642,2228,2386,2328,2224,6.6666669845581055,10,10,6.45161247253418,80569.93994140625,11677.724182128906,7615.885498046875,0.30633544921875,25127043072,4294963200,741728256,0
