Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729209722373,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.62615966797,11795.110412597656,7687.139221191406,0.30633544921875,25127043072,4294963200,737107968,0
20,1729209722373,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.62615966797,11795.110412597656,7687.139831542969,0.30633544921875,25127043072,4294963200,737107968,0
20,1729209722393,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.63452148438,11795.162536621094,7687.1644287109375,0.30633544921875,25127043072,4294963200,755429376,0
20,1729209722413,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.64404296875,11795.234069824219,7687.195739746094,0.30633544921875,25127043072,4294963200,780718080,0
19,1729209722433,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.65686035156,11795.339782714844,7687.25732421875,0.30633544921875,25127043072,4294963200,818393088,0
19,1729209722454,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.67010498047,11795.450622558594,7687.320617675781,0.30633544921875,25127043072,4294963200,856842240,0
20,1729209722474,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.68273925781,11795.560302734375,7687.3837890625,0.30633544921875,25127043072,4294963200,895033344,0
20,1729209722494,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.69519042969,11795.666442871094,7687.4473876953125,0.30633544921875,25127043072,4294963200,933482496,0
20,1729209722514,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.70599365234,11795.772583007813,7687.510803222656,0.30633544921875,25127043072,4294963200,971673600,0
20,1729209722534,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.716796875,11795.878540039063,7687.574157714844,0.30633544921875,25127043072,4294963200,1010380800,0
20,1729209722554,2399,1537,2337,2242,6.45161247253418,6.25,6.25,9.67741870880127,80578.72943115234,11795.984741210938,7687.637634277344,0.30633544921875,25127043072,4294963200,1048571904,0
20,1729209722574,2399,1537,2337,2242,100,0,0,4.761904716491699,80578.74200439453,11796.093994140625,7687.701110839844,0.30633544921875,25127043072,4294963200,1087021056,0
20,1729209722594,2399,1537,2337,2242,100,0,0,4.761904716491699,80578.75463867188,11796.200805664063,7687.764343261719,0.30633544921875,25127043072,4294963200,1125724160,0
20,1729209722614,2399,1537,2337,2242,100,0,0,4.761904716491699,80578.76733398438,11796.307678222656,7687.827453613281,0.30633544921875,25127043072,4294963200,1163915264,0
20,1729209722634,2399,1537,2337,2242,100,0,0,4.761904716491699,80578.77819824219,11796.42138671875,7687.897399902344,0.30633544921875,25127043072,4294963200,1175011328,0
20,1729209722654,2399,1537,2337,2242,100,0,0,4.761904716491699,80578.78442382813,11796.532104492188,7687.969970703125,0.30633544921875,25127043072,4294963200,1175011328,0
20,1729209722675,2399,1537,2337,2242,100,0,0,4.761904716491699,80578.79052734375,11796.646667480469,7688.043029785156,0.30633544921875,25127043072,4294963200,1175011328,0
20,1729209722695,2399,1537,2337,2242,100,0,0,4.761904716491699,80578.79699707031,11796.765014648438,7688.116516113281,0.30633544921875,25127043072,4294963200,1175011328,0
