Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729209732675,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.8569946289,11843.354614257813,7715.230163574219,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732675,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.857421875,11843.35791015625,7715.23095703125,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732695,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.86376953125,11843.405334472656,7715.235168457031,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732715,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.86962890625,11843.450988769531,7715.236999511719,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732735,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.8754272461,11843.478759765625,7715.238464355469,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732756,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.88098144531,11843.522827148438,7715.240295410156,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732776,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.88677978516,11843.553161621094,7715.242431640625,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732796,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.89251708984,11843.596008300781,7715.24365234375,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732816,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.89825439453,11843.644470214844,7715.2469482421875,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732837,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.90423583984,11843.6796875,7715.250061035156,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732857,2242,2356,2056,1528,10,12.90322494506836,9.67741870880127,6.6666669845581055,80581.90979003906,11843.720275878906,7715.2515869140625,0.306396484375,25127043072,4294963200,732921856,0
19,1729209732877,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.91564941406,11843.765991210938,7715.25390625,0.306396484375,25127043072,4294963200,732921856,0
19,1729209732897,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.92138671875,11843.794128417969,7715.255615234375,0.306396484375,25127043072,4294963200,732921856,0
19,1729209732917,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.92712402344,11843.842346191406,7715.2586669921875,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732937,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.93328857422,11843.888244628906,7715.260192871094,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732957,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.93908691406,11843.916137695313,7715.262145996094,0.306396484375,25127043072,4294963200,732921856,0
19,1729209732978,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.94464111328,11843.9609375,7715.26416015625,0.306396484375,25127043072,4294963200,732921856,0
20,1729209732998,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.95056152344,11843.989807128906,7715.266052246094,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733018,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.95623779297,11844.034729003906,7715.267883300781,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733038,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.96179199219,11844.079895019531,7715.2698974609375,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733058,2242,2356,2056,1528,0,4.761904716491699,0,0,80581.96789550781,11844.109252929688,7715.271728515625,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733078,2242,2356,2056,1528,4.761904716491699,0,0,0,80581.97387695313,11844.1533203125,7715.2735595703125,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733099,2242,2356,2056,1528,4.761904716491699,0,0,0,80581.97943115234,11844.182312011719,7715.275329589844,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733119,2242,2356,2056,1528,4.761904716491699,0,0,0,80581.98504638672,11844.226806640625,7715.276916503906,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733139,2242,2356,2056,1528,4.761904716491699,0,0,0,80581.9907836914,11844.272338867188,7715.278869628906,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733159,2242,2356,2056,1528,4.761904716491699,0,0,0,80581.99700927734,11844.301513671875,7715.280578613281,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733180,2242,2356,2056,1528,4.761904716491699,0,0,0,80582.00256347656,11844.350158691406,7715.284423828125,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733200,2242,2356,2056,1528,4.761904716491699,0,0,0,80582.00830078125,11844.398986816406,7715.288146972656,0.306396484375,25127043072,4294963200,732921856,0
20,1729209733220,2242,2356,2056,1528,4.761904716491699,0,0,0,80582.01446533203,11844.429077148438,7715.2901611328125,0.306396484375,25127043072,4294963200,732921856,0
19,1729209733240,2242,2356,2056,1528,4.761904716491699,0,0,0,80582.02001953125,11844.473205566406,7715.2918701171875,0.306396484375,25127043072,4294963200,732921856,0
19,1729209733260,2242,2356,2056,1528,4.761904716491699,0,0,0,80582.02606201172,11844.502807617188,7715.2940673828125,0.306396484375,25127043072,4294963200,732921856,0
19,1729209733280,2242,2356,2056,1528,0,0,0,0,80582.03192138672,11844.548095703125,7715.295959472656,0.306396484375,25127043072,4294963200,732921856,0
