Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729209754093,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.03247070313,11884.555908203125,7717.178466796875,0.306396484375,25127043072,4294963200,744157184,0
20,1729209754093,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.03289794922,11884.558471679688,7717.179138183594,0.306396484375,25127043072,4294963200,744157184,0
19,1729209754113,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.04052734375,11884.610656738281,7717.196044921875,0.306396484375,25127043072,4294963200,756285440,0
20,1729209754133,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.04901123047,11884.672485351563,7717.2166748046875,0.306396484375,25127043072,4294963200,773832704,0
20,1729209754153,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.05963134766,11884.76953125,7717.2724609375,0.306396484375,25127043072,4294963200,809443328,0
20,1729209754173,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.07220458984,11884.87548828125,7717.3355712890625,0.306396484375,25127043072,4294963200,847892480,0
20,1729209754193,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.08465576172,11884.983764648438,7717.398864746094,0.306396484375,25127043072,4294963200,886599680,0
20,1729209754213,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.09802246094,11885.0947265625,7717.462585449219,0.306396484375,25127043072,4294963200,924790784,0
20,1729209754233,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.11047363281,11885.203002929688,7717.5252685546875,0.306396484375,25127043072,4294963200,962981888,0
19,1729209754254,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.12298583984,11885.310363769531,7717.588562011719,0.306396484375,25127043072,4294963200,1001431040,0
20,1729209754274,2254,2247,1770,2130,11.764705657958984,16.666667938232422,11.764705657958984,14.705883026123047,80588.1337890625,11885.414672851563,7717.652404785156,0.306396484375,25127043072,4294963200,1039880192,0
20,1729209754294,2254,2247,1770,2130,100,0,0,5,80588.14636230469,11885.5244140625,7717.716003417969,0.306396484375,25127043072,4294963200,1078071296,0
20,1729209754314,2254,2247,1770,2130,100,0,0,5,80588.15905761719,11885.629943847656,7717.7794189453125,0.306396484375,25127043072,4294963200,1116262400,0
20,1729209754334,2254,2247,1770,2130,100,0,0,5,80588.17169189453,11885.739013671875,7717.8428955078125,0.306396484375,25127043072,4294963200,1154969600,0
20,1729209754354,2254,2247,1770,2130,100,0,0,5,80588.1831665039,11885.848999023438,7717.909362792969,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754374,2254,2247,1770,2130,100,0,0,5,80588.18994140625,11885.96142578125,7717.984130859375,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754394,2254,2247,1770,2130,100,0,0,5,80588.19653320313,11886.077758789063,7718.059020996094,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754414,2254,2247,1770,2130,100,0,0,5,80588.20318603516,11886.190856933594,7718.133850097656,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754434,2254,2247,1770,2130,100,0,0,5,80588.20977783203,11886.306762695313,7718.2088623046875,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754454,2254,2247,1770,2130,100,0,0,5,80588.21673583984,11886.427734375,7718.2841796875,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754475,2254,2247,1770,2130,100,0,0,5,80588.22332763672,11886.5400390625,7718.3592529296875,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754495,2254,2247,1770,2130,100,0,0,0,80588.2299194336,11886.657592773438,7718.435119628906,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754515,2254,2247,1770,2130,100,0,0,0,80588.23657226563,11886.771484375,7718.51025390625,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754535,2254,2247,1770,2130,100,0,0,0,80588.2431640625,11886.886657714844,7718.585266113281,0.306396484375,25127043072,4294963200,1182064640,0
20,1729209754555,2254,2247,1770,2130,100,0,0,0,80588.24975585938,11887.002380371094,7718.660705566406,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754575,2254,2247,1770,2130,100,0,0,0,80588.25634765625,11887.114990234375,7718.736145019531,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754595,2254,2247,1770,2130,100,0,0,0,80588.26293945313,11887.231994628906,7718.811340332031,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754615,2254,2247,1770,2130,100,0,0,0,80588.26947021484,11887.345458984375,7718.8861083984375,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754635,2254,2247,1770,2130,100,0,0,0,80588.27606201172,11887.460815429688,7718.961730957031,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754655,2254,2247,1770,2130,100,0,0,0,80588.2826538086,11887.576843261719,7719.036560058594,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754675,2254,2247,1770,2130,100,0,0,0,80588.28955078125,11887.696166992188,7719.112731933594,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754696,2254,2247,1770,2130,100,0,0,0,80588.29614257813,11887.81201171875,7719.188293457031,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754716,2254,2247,1770,2130,100,0,0,0,80588.30297851563,11887.929138183594,7719.265808105469,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754736,2254,2247,1770,2130,100,0,0,0,80588.3095703125,11888.043334960938,7719.3409423828125,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754756,2254,2247,1770,2130,100,0,0,0,80588.31616210938,11888.160400390625,7719.416259765625,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754776,2254,2247,1770,2130,100,0,0,0,80588.3228149414,11888.273681640625,7719.4923095703125,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754796,2254,2247,1770,2130,100,0,0,0,80588.32940673828,11888.389892578125,7719.5673828125,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754816,2254,2247,1770,2130,100,0,0,0,80588.3359375,11888.5048828125,7719.6427001953125,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754836,2254,2247,1770,2130,100,0,0,0,80588.34246826172,11888.619384765625,7719.718444824219,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754856,2254,2247,1770,2130,100,0,0,0,80588.34899902344,11888.734802246094,7719.793640136719,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754876,2254,2247,1770,2130,100,0,0,0,80588.35559082031,11888.847106933594,7719.869140625,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754896,2254,2247,1770,2130,100,0,0,0,80588.36248779297,11888.970458984375,7719.944641113281,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754917,2254,2247,1770,2130,100,0,0,0,80588.36907958984,11889.086547851563,7720.019836425781,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754937,2254,2247,1770,2130,100,0,0,0,80588.3755493164,11889.199157714844,7720.095520019531,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754957,2254,2247,1770,2130,100,0,0,0,80588.38214111328,11889.316162109375,7720.171081542969,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754977,2254,2247,1770,2130,100,0,0,0,80588.388671875,11889.429748535156,7720.2464599609375,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209754997,2254,2247,1770,2130,100,0,0,0,80588.39520263672,11889.546081542969,7720.321838378906,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209755017,2254,2247,1770,2130,100,0,0,0,80588.4017944336,11889.661987304688,7720.397766113281,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209755037,2254,2247,1770,2130,100,0,0,0,80588.40832519531,11889.775207519531,7720.473449707031,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209755057,2254,2247,1770,2130,100,0,0,0,80588.41485595703,11889.892700195313,7720.549133300781,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209755077,2254,2247,1770,2130,100,0,0,0,80588.42150878906,11890.006408691406,7720.624938964844,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209755097,2254,2247,1770,2130,100,0,0,0,80588.42810058594,11890.123291015625,7720.7010498046875,0.306396484375,25127043072,4294963200,1182048256,0
20,1729209755117,2254,2247,1770,2130,100,0,0,0,80588.43469238281,11890.239440917969,7720.776550292969,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755137,2254,2247,1770,2130,100,0,0,0,80588.44152832031,11890.357849121094,7720.852478027344,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755157,2254,2247,1770,2130,100,0,0,0,80588.44805908203,11890.475952148438,7720.92822265625,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755178,2254,2247,1770,2130,100,0,0,0,80588.4546508789,11890.590637207031,7721.003662109375,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755198,2254,2247,1770,2130,100,0,0,0,80588.46118164063,11890.706176757813,7721.07958984375,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755218,2254,2247,1770,2130,100,0,0,0,80588.4677734375,11890.822509765625,7721.1556396484375,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755238,2254,2247,1770,2130,100,0,0,0,80588.47430419922,11890.934814453125,7721.2313232421875,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755258,2254,2247,1770,2130,100,0,0,0,80588.4808959961,11891.052856445313,7721.3070068359375,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755278,2254,2247,1770,2130,100,0,0,0,80588.48748779297,11891.167541503906,7721.3829345703125,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755298,2254,2247,1770,2130,100,0,0,0,80588.49407958984,11891.282775878906,7721.458923339844,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755318,2254,2247,1770,2130,100,0,0,0,80588.50073242188,11891.400024414063,7721.534423828125,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755338,2254,2247,1770,2130,100,0,0,0,80588.5072631836,11891.512329101563,7721.610046386719,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755358,2254,2247,1770,2130,100,0,0,0,80588.51416015625,11891.635620117188,7721.686218261719,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755379,2254,2247,1770,2130,100,0,0,0,80588.52069091797,11891.75048828125,7721.7613525390625,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755399,2254,2247,1770,2130,100,0,0,0,80588.52740478516,11891.865783691406,7721.8380126953125,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755419,2254,2247,1770,2130,100,0,0,0,80588.53399658203,11891.983337402344,7721.914367675781,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755439,2254,2247,1770,2130,100,0,0,0,80588.5405883789,11892.097045898438,7721.990234375,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755459,2254,2247,1770,2130,100,0,0,0,80588.54718017578,11892.213745117188,7722.0662841796875,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755479,2254,2247,1770,2130,100,0,0,0,80588.5537109375,11892.329284667969,7722.141784667969,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755499,2254,2247,1770,2130,100,0,0,0,80588.56024169922,11892.443542480469,7722.2177734375,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755519,2254,2247,1770,2130,100,0,0,0,80588.56689453125,11892.561340332031,7722.293701171875,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755539,2254,2247,1770,2130,100,0,0,0,80588.57342529297,11892.674682617188,7722.369323730469,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755559,2254,2247,1770,2130,100,0,0,0,80588.58032226563,11892.796447753906,7722.44482421875,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755579,2254,2247,1770,2130,100,0,0,0,80588.58685302734,11892.912719726563,7722.52099609375,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755600,2254,2247,1770,2130,100,0,0,0,80588.5933227539,11893.0263671875,7722.597106933594,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755620,2254,2247,1770,2130,100,0,0,0,80588.59991455078,11893.143737792969,7722.672607421875,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755640,2254,2247,1770,2130,100,0,0,0,80588.60638427734,11893.257995605469,7722.748291015625,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755660,2254,2247,1770,2130,100,0,0,0,80588.6128540039,11893.373291015625,7722.824035644531,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755680,2254,2247,1770,2130,100,0,0,0,80588.61950683594,11893.490112304688,7722.900085449219,0.306396484375,25127043072,4294963200,1182044160,0
19,1729209755700,2254,2247,1770,2130,100,0,0,0,80588.62603759766,11893.603759765625,7722.9764404296875,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755720,2254,2247,1770,2130,100,0,0,0,80588.63275146484,11893.722229003906,7723.052185058594,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755740,2254,2247,1770,2130,100,0,0,0,80588.6392211914,11893.835266113281,7723.128234863281,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755760,2254,2247,1770,2130,100,0,0,0,80588.64575195313,11893.952087402344,7723.203857421875,0.306396484375,25127043072,4294963200,1182044160,0
20,1729209755780,2254,2247,1770,2130,100,0,0,0,80588.65228271484,11894.067626953125,7723.279357910156,0.306396484375,25127043072,4294963200,1182044160,0
