Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729209671552,2348,2268,400,2261,9.090909004211426,6.060606002807617,6.060606002807617,8.823529243469238,80560.92700195313,11543.818664550781,7537.076721191406,0.30633544921875,25127043072,4294963200,740089856,0
20,1729209671552,2348,2268,400,2261,9.090909004211426,6.060606002807617,6.060606002807617,8.823529243469238,80560.927734375,11543.820983886719,7537.0775146484375,0.30633544921875,25127043072,4294963200,740089856,0
0,1729209671572,2348,2268,400,2261,9.090909004211426,6.060606002807617,6.060606002807617,8.823529243469238,80560.93371582031,11543.870483398438,7537.0830078125,0.30633544921875,25127043072,4294963200,740085760,0
