Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729209731298,2370,2296,400,2319,9.375,9.375,6.45161247253418,12.5,80581.44946289063,11840.57958984375,7714.983215332031,0.306396484375,25127043072,4294963200,728043520,0
20,1729209731298,2370,2296,400,2319,9.375,9.375,6.45161247253418,12.5,80581.44946289063,11840.57958984375,7714.983947753906,0.306396484375,25127043072,4294963200,728043520,0
0,1729209731318,2370,2296,400,2319,9.375,9.375,6.45161247253418,12.5,80581.45599365234,11840.631896972656,7714.990173339844,0.306396484375,25127043072,4294963200,728043520,0
