Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729209650164,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.31823730469,11423.281127929688,7459.02880859375,0.30633544921875,25127043072,4294963200,741515264,0
20,1729209650164,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.31823730469,11423.281127929688,7459.029602050781,0.30633544921875,25127043072,4294963200,741515264,0
20,1729209650184,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.32415771484,11423.34033203125,7459.052062988281,0.30633544921875,25127043072,4294963200,741515264,0
20,1729209650204,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.32989501953,11423.411560058594,7459.085388183594,0.30633544921875,25127043072,4294963200,741515264,0
20,1729209650224,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.33563232422,11423.5234375,7459.15966796875,0.30633544921875,25127043072,4294963200,741515264,0
20,1729209650244,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.34149169922,11423.640502929688,7459.2353515625,0.30633544921875,25127043072,4294963200,741515264,0
20,1729209650264,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.34783935547,11423.760681152344,7459.312255859375,0.30633544921875,25127043072,4294963200,741515264,0
20,1729209650284,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.35382080078,11423.8779296875,7459.3890380859375,0.30633544921875,25127043072,4294963200,741773312,0
20,1729209650304,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.3599243164,11423.994018554688,7459.464599609375,0.30633544921875,25127043072,4294963200,742805504,0
20,1729209650325,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.36602783203,11424.107666015625,7459.541076660156,0.30633544921875,25127043072,4294963200,743579648,0
20,1729209650345,2381,2399,1115,1517,6.6666669845581055,9.67741870880127,6.6666669845581055,9.375,80554.3720703125,11424.228088378906,7459.6195068359375,0.30633544921875,25127043072,4294963200,744353792,0
20,1729209650365,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.37823486328,11424.342407226563,7459.696350097656,0.30633544921875,25127043072,4294963200,745385984,0
20,1729209650385,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.38446044922,11424.460083007813,7459.773254394531,0.30633544921875,25127043072,4294963200,746160128,0
20,1729209650405,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.39056396484,11424.576354980469,7459.8489990234375,0.30633544921875,25127043072,4294963200,747192320,0
20,1729209650425,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.39660644531,11424.689819335938,7459.925048828125,0.30633544921875,25127043072,4294963200,747966464,0
20,1729209650445,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.40264892578,11424.806945800781,7460.0008544921875,0.30633544921875,25127043072,4294963200,748998656,0
20,1729209650465,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.40911865234,11424.928039550781,7460.0777587890625,0.30633544921875,25127043072,4294963200,749772800,0
20,1729209650485,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.41522216797,11425.044067382813,7460.153503417969,0.30633544921875,25127043072,4294963200,750804992,0
20,1729209650505,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.4213256836,11425.160827636719,7460.229248046875,0.30633544921875,25127043072,4294963200,751579136,0
20,1729209650525,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.42736816406,11425.273376464844,7460.3056640625,0.30633544921875,25127043072,4294963200,752353280,0
20,1729209650546,2381,2399,1115,1517,14.285715103149414,0,85.71428680419922,0,80554.43359375,11425.391418457031,7460.381774902344,0.30633544921875,25127043072,4294963200,753381376,0
20,1729209650566,2381,2399,1115,1517,0,0,100,0,80554.43975830078,11425.507019042969,7460.458740234375,0.30633544921875,25127043072,4294963200,754413568,0
20,1729209650586,2381,2399,1115,1517,0,0,100,0,80554.4458618164,11425.623229980469,7460.5352783203125,0.30633544921875,25127043072,4294963200,755187712,0
20,1729209650606,2381,2399,1115,1517,0,0,100,0,80554.45196533203,11425.739990234375,7460.611389160156,0.30633544921875,25127043072,4294963200,756215808,0
20,1729209650626,2381,2399,1115,1517,0,0,100,0,80554.45812988281,11425.853271484375,7460.6878662109375,0.30633544921875,25127043072,4294963200,756989952,0
20,1729209650646,2381,2399,1115,1517,0,0,100,0,80554.46417236328,11425.970947265625,7460.763610839844,0.30633544921875,25127043072,4294963200,758022144,0
20,1729209650666,2381,2399,1115,1517,0,0,100,0,80554.4702758789,11426.085693359375,7460.839599609375,0.30633544921875,25127043072,4294963200,759054336,0
20,1729209650686,2381,2399,1115,1517,0,0,100,0,80554.47674560547,11426.207092285156,7460.915283203125,0.30633544921875,25127043072,4294963200,759828480,0
20,1729209650706,2381,2399,1115,1517,0,0,100,0,80554.4828491211,11426.324279785156,7460.991455078125,0.30633544921875,25127043072,4294963200,760860672,0
20,1729209650726,2381,2399,1115,1517,0,0,100,0,80554.48901367188,11426.43603515625,7461.067626953125,0.30633544921875,25127043072,4294963200,761634816,0
20,1729209650747,2381,2399,1115,1517,0,0,100,0,80554.4951171875,11426.554260253906,7461.143798828125,0.30633544921875,25127043072,4294963200,762667008,0
20,1729209650767,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.50128173828,11426.669494628906,7461.2197265625,0.30633544921875,25127043072,4294963200,763441152,0
20,1729209650787,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.5073852539,11426.78369140625,7461.2957763671875,0.30633544921875,25127043072,4294963200,764473344,0
19,1729209650807,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.51348876953,11426.900329589844,7461.37158203125,0.30633544921875,25127043072,4294963200,765247488,0
20,1729209650827,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.51959228516,11427.013366699219,7461.4471435546875,0.30633544921875,25127043072,4294963200,766279680,0
20,1729209650847,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.52569580078,11427.132202148438,7461.524108886719,0.30633544921875,25127043072,4294963200,767053824,0
20,1729209650867,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.53192138672,11427.249694824219,7461.601867675781,0.30633544921875,25127043072,4294963200,768086016,0
20,1729209650887,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.53802490234,11427.363830566406,7461.677734375,0.30633544921875,25127043072,4294963200,768860160,0
20,1729209650907,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.54418945313,11427.480651855469,7461.7535400390625,0.30633544921875,25127043072,4294963200,769892352,0
20,1729209650927,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.55065917969,11427.600646972656,7461.8292236328125,0.30633544921875,25127043072,4294963200,770924544,0
20,1729209650947,2381,2399,1115,1517,0,4.761904716491699,100,0,80554.55676269531,11427.717468261719,7461.9052734375,0.30633544921875,25127043072,4294963200,771698688,0
20,1729209650967,2381,2399,1115,1517,0,0,100,0,80554.56286621094,11427.833557128906,7461.982421875,0.30633544921875,25127043072,4294963200,772730880,0
20,1729209650988,2381,2399,1115,1517,0,0,100,0,80554.56903076172,11427.947387695313,7462.05810546875,0.30633544921875,25127043072,4294963200,773763072,0
20,1729209651008,2381,2399,1115,1517,0,0,100,0,80554.57513427734,11428.064697265625,7462.134216308594,0.30633544921875,25127043072,4294963200,774537216,0
20,1729209651028,2381,2399,1115,1517,0,0,100,0,80554.58123779297,11428.178161621094,7462.2100830078125,0.30633544921875,25127043072,4294963200,775569408,0
20,1729209651048,2381,2399,1115,1517,0,0,100,0,80554.5873413086,11428.295227050781,7462.2862548828125,0.30633544921875,25127043072,4294963200,776601600,0
20,1729209651068,2381,2399,1115,1517,0,0,100,0,80554.59350585938,11428.411376953125,7462.362487792969,0.30633544921875,25127043072,4294963200,777633792,0
20,1729209651088,2381,2399,1115,1517,0,0,100,0,80554.599609375,11428.524963378906,7462.438720703125,0.30633544921875,25127043072,4294963200,778407936,0
20,1729209651108,2381,2399,1115,1517,0,0,100,0,80554.60571289063,11428.642517089844,7462.5150146484375,0.30633544921875,25127043072,4294963200,779440128,0
20,1729209651128,2381,2399,1115,1517,0,0,100,0,80554.6118774414,11428.756530761719,7462.5906982421875,0.30633544921875,25127043072,4294963200,780472320,0
20,1729209651148,2381,2399,1115,1517,0,0,100,0,80554.61828613281,11428.878540039063,7462.666442871094,0.30633544921875,25127043072,4294963200,781246464,0
20,1729209651168,2381,2399,1115,1517,0,0,100,0,80554.62432861328,11428.994995117188,7462.742614746094,0.30633544921875,25127043072,4294963200,782278656,0
20,1729209651189,2381,2399,1115,1517,0,0,100,0,80554.63055419922,11429.10791015625,7462.818420410156,0.30633544921875,25127043072,4294963200,783306752,0
20,1729209651209,2381,2399,1115,1517,0,0,100,0,80554.63671875,11429.225891113281,7462.89453125,0.30633544921875,25127043072,4294963200,784080896,0
19,1729209651229,2381,2399,1115,1517,0,0,100,0,80554.64294433594,11429.340576171875,7462.970458984375,0.30633544921875,25127043072,4294963200,785113088,0
20,1729209651249,2381,2399,1115,1517,0,0,100,0,80554.64910888672,11429.455871582031,7463.04638671875,0.30633544921875,25127043072,4294963200,786145280,0
20,1729209651269,2381,2399,1115,1517,0,0,100,0,80554.65521240234,11429.573181152344,7463.123474121094,0.30633544921875,25127043072,4294963200,786919424,0
20,1729209651289,2381,2399,1115,1517,0,0,100,0,80554.66131591797,11429.6865234375,7463.1998291015625,0.30633544921875,25127043072,4294963200,787951616,0
20,1729209651309,2381,2399,1115,1517,0,0,100,0,80554.6674194336,11429.804016113281,7463.2757568359375,0.30633544921875,25127043072,4294963200,788725760,0
20,1729209651329,2381,2399,1115,1517,0,0,100,0,80554.67358398438,11429.918762207031,7463.351501464844,0.30633544921875,25127043072,4294963200,789757952,0
20,1729209651349,2381,2399,1115,1517,0,0,100,0,80554.68005371094,11430.039428710938,7463.427795410156,0.30633544921875,25127043072,4294963200,790790144,0
20,1729209651369,2381,2399,1115,1517,0,0,100,0,80554.6860961914,11430.155944824219,7463.503967285156,0.30633544921875,25127043072,4294963200,791564288,0
20,1729209651389,2381,2399,1115,1517,0,0,100,0,80554.69226074219,11430.268920898438,7463.579650878906,0.30633544921875,25127043072,4294963200,792596480,0
20,1729209651410,2381,2399,1115,1517,0,0,100,0,80554.69836425781,11430.387451171875,7463.655944824219,0.30633544921875,25127043072,4294963200,793370624,0
20,1729209651430,2381,2399,1115,1517,0,0,100,0,80554.70446777344,11430.502746582031,7463.73193359375,0.30633544921875,25127043072,4294963200,794402816,0
20,1729209651450,2381,2399,1115,1517,0,0,100,0,80554.71057128906,11430.617248535156,7463.807556152344,0.30633544921875,25127043072,4294963200,795176960,0
20,1729209651470,2381,2399,1115,1517,0,0,100,0,80554.71667480469,11430.734008789063,7463.883605957031,0.30633544921875,25127043072,4294963200,796209152,0
20,1729209651490,2381,2399,1115,1517,0,0,100,0,80554.72283935547,11430.846740722656,7463.959411621094,0.30633544921875,25127043072,4294963200,796983296,0
20,1729209651510,2381,2399,1115,1517,0,0,100,0,80554.72918701172,11430.964599609375,7464.034973144531,0.30633544921875,25127043072,4294963200,798015488,0
19,1729209651530,2381,2399,1115,1517,0,0,100,0,80554.73541259766,11431.079895019531,7464.111328125,0.30633544921875,25127043072,4294963200,798015488,0
20,1729209651550,2381,2399,1115,1517,0,0,100,0,80554.74157714844,11431.194580078125,7464.186828613281,0.30633544921875,25127043072,4294963200,798015488,0
