__run_id,__done,llm,algorithm,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,total_memory,used_memory,total_swap,used_swap,dram_energy,package_energy,pp0_energy,pp1_energy,run_time
run_4_repetition_41,DONE,Claude,BFA,400.0,2157.0,2334.0,2158.0,0.28,58.34,0.65,40.87,25127051264.0,679360931.52,4294963200.0,0.0,112386625.2,258707064.561,39222618.005,427.453,20.352583646774292
run_5_repetition_41,DONE,Claude,SWA,2400.0,400.0,2400.0,2400.0,98.51,0.33,0.64,0.43,25127051264.0,1813360485.21,4294963200.0,0.0,78038003.963,179737577.669,27270463.797,296.801,14.245850563049316
run_6_repetition_41,DONE,Gemeni,BB,400.0,400.0,2400.0,2400.0,14.71,12.12,9.38,12.9,25127051264.0,691552256.0,4294963200.0,0.0,340334.564,784154.727,118988.144,1.294,0.37325453758239746
run_7_repetition_41,DONE,Gemeni,BFA,2336.0,2396.0,400.0,2383.0,89.49,0.32,9.81,0.68,25127051264.0,677990868.24,4294963200.0,0.0,106200990.171,244799590.907,37157747.403,404.016,19.248225450515747
run_8_repetition_41,DONE,Gemeni,SWA,400.0,400.0,2400.0,2400.0,97.83,0.44,0.32,0.77,25127051264.0,1113030465.7,4294963200.0,0.0,51293678.933,118295248.234,17966854.229,195.102,9.470000505447388
run_0_repetition_42,DONE,ChatGPT,BB,400.0,2179.0,2332.0,400.0,88.5,0.51,11.12,0.13,25127051264.0,975235441.92,4294963200.0,0.0,112479368.847,259536155.544,39442694.044,427.877,20.374115705490112
run_1_repetition_42,DONE,ChatGPT,BFA,2400.0,400.0,2401.0,2400.0,0.48,16.22,0.27,83.03,25127051264.0,679133118.01,4294963200.0,0.0,105688408.617,226975002.792,37119991.186,402.006,19.12979769706726
run_2_repetition_42,DONE,ChatGPT,SWA,400.0,1406.0,2023.0,1910.0,0.69,98.66,0.64,0.38,25127051264.0,1886949776.0,4294963200.0,0.0,87199832.681,114916.067,30669115.747,331.734,15.869170427322388
run_3_repetition_42,DONE,Claude,BB,2262.0,400.0,2368.0,2178.0,85.25,0.55,13.95,0.43,25127051264.0,1123075872.58,4294963200.0,0.0,112426239.569,341987.563,39596699.377,427.626,20.395182132720947
run_4_repetition_42,DONE,Claude,BFA,1298.0,400.0,2213.0,2385.0,0.55,98.32,0.74,0.82,25127051264.0,673818415.27,4294963200.0,0.0,112560362.713,547900.12,39706520.549,428.058,20.370205879211426
